year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
2014,Ford,Taurus,Limited,Sedan,automatic,1fahp2f87eg149534,fl,4.7,25838,—,black,"avis budget group",19300,20600,Wed Jan 07 2015 10:00:00 GMT-0800 (PST)
2014,GMC,Terrain,SLT-2,SUV,automatic,2gkaltek6e6292182,hi,3.9,4616,blue,black,"bank of hawaii",22100,21500,Wed Jan 07 2015 06:35:00 GMT-0800 (PST)
2014,Honda,Accord,Sport,Sedan,automatic,1hgcr2f52ea044960,hi,4.1,17570,white,black,"first hawaiian bank",18550,17000,Tue Dec 23 2014 14:30:00 GMT-0800 (PST)
2014,Hyundai,Accent,GLS,Sedan,automatic,kmhct4ae1eu630644,il,4.2,21427,white,beige,"hyundai motor america/lease",11450,11100,Tue Mar 03 2015 02:00:00 GMT-0800 (PST)
2014,Hyundai,Equus,Signature,Sedan,automatic,kmhgh4jh1eu075417,nc,4.5,28632,silver,black,"suntrust bank",42500,38000,Tue Jan 13 2015 09:30:00 GMT-0800 (PST)
2014,Hyundai,Elantra,SE,Sedan,automatic,kmhdh4ae6eu085837,fl,4.7,1488,black,beige,"hyundai motor finance",14250,14000,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
2014,Hyundai,Elantra,SE,Sedan,automatic,5npdh4ae3eh503141,nv,4.4,10680,silver,gray,"hyundai motor america",13600,13500,Wed Dec 31 2014 12:00:00 GMT-0800 (PST)
2014,Hyundai,Elantra,SE,Sedan,automatic,5npdh4ae8eh505399,nv,4.2,16587,blue,gray,"hyundai motor america",13300,13300,Wed Dec 31 2014 12:00:00 GMT-0800 (PST)
2014,Hyundai,Azera,Limited,Sedan,automatic,kmhfh4jg8ea343030,nv,5,224,silver,black,"hyundai motor america/co car",25000,24500,Fri Jan 09 2015 12:00:00 GMT-0800 (PST)
2014,Hyundai,Elantra,SE,Sedan,automatic,5npdh4ae8eh503524,nv,4.5,13638,silver,gray,"hyundai motor america",13450,13300,Wed Dec 31 2014 12:00:00 GMT-0800 (PST)
2014,Honda,Accord,EX-L V-6,Coupe,,1hgct2b88ea004254,ca,4.6,20931,white,black,"american honda motor company",21200,22300,Tue Dec 30 2014 15:00:00 GMT-0800 (PST)
2014,Honda,Civic,LX,Sedan,manual,19xfb2e51ee086325,ca,5,14,black,gray,"american honda motor company",15500,15400,Tue Dec 30 2014 15:00:00 GMT-0800 (PST)
2014,Hyundai,Elantra,SE,Sedan,automatic,5npdh4ae4eh505111,nv,4.5,16261,gray,gray,"hyundai motor america",13300,13300,Wed Dec 31 2014 12:00:00 GMT-0800 (PST)
2014,Honda,Pilot,Touring w/Navigation and Rear Entertainment,SUV,automatic,5fnyf4h90eb013240,ca,4.8,15090,black,gray,"american honda motor company",33100,33750,Tue Dec 30 2014 15:00:00 GMT-0800 (PST)
2014,Hyundai,Elantra,SE,Sedan,automatic,5npdh4ae9eh505122,nv,4.2,13518,gray,gray,"hyundai motor america",13450,13300,Wed Dec 31 2014 12:00:00 GMT-0800 (PST)
2014,Honda,Civic,LX,Sedan,automatic,2hgfb2f53eh516179,ca,4.5,10465,gray,black,"american honda motor company",15150,16000,Tue Dec 30 2014 15:00:00 GMT-0800 (PST)
2014,Honda,CR-V,LX,SUV,automatic,3czrm3h39eg700088,ca,4.4,17325,gray,gray,"ahfc/honda lease trust/hvt, inc.",17650,18800,Tue Dec 30 2014 15:00:00 GMT-0800 (PST)
2014,Hyundai,Elantra,SE,Sedan,automatic,5npdh4ae7eh487459,pa,3.5,13744,red,gray,"e & l motors corp",13500,12800,Tue Dec 30 2014 09:30:00 GMT-0800 (PST)
2014,Honda,Accord,EX-L V-6,Coupe,,1hgct2b83ea003299,ca,4.8,6434,white,black,"american honda motor company",22500,25000,Thu Jan 15 2015 04:00:00 GMT-0800 (PST)
2014,Honda,CR-V,LX,SUV,automatic,5j6rm3h3xel043076,ca,4.3,134,white,gray,"ahfc/honda lease trust/hvt, inc.",20200,21500,Tue Dec 30 2014 15:00:00 GMT-0800 (PST)
2014,Honda,Odyssey,EX,Minivan,automatic,5fnrl5h45eb016206,ca,4.4,19991,silver,gray,"ahfc/honda lease trust/hvt, inc.",22500,22900,Tue Dec 30 2014 15:00:00 GMT-0800 (PST)
2014,Hyundai,Accent,GLS,Sedan,automatic,kmhct4ae7eu637243,fl,2.6,13799,white,beige,"florida auto financial group",11750,10500,Mon Dec 22 2014 09:30:00 GMT-0800 (PST)
2014,Honda,Accord,EX-L,Coupe,automatic,1hgct1b87ea000822,ca,4.4,27040,black,black,"american honda motor company",18600,19600,Tue Dec 30 2014 15:00:00 GMT-0800 (PST)
2014,Honda,Crosstour,EX-L,Hatchback,automatic,5j6tf2h55el002253,ca,4.4,13732,gray,black,"american honda motor company",25400,27750,Tue Dec 30 2014 15:00:00 GMT-0800 (PST)
2014,Honda,Civic,EX-L,Sedan,automatic,19xfb2f91ee200003,ca,4.6,4431,blue,gray,"american honda motor company",19100,18800,Tue Dec 30 2014 15:00:00 GMT-0800 (PST)
2014,Hyundai,Elantra,SE,Sedan,automatic,5npdh4aexeh507557,il,4.6,15023,white,gray,"hyundai motor america/lease",13600,13200,Tue Mar 03 2015 02:00:00 GMT-0800 (PST)
2014,Hyundai,Accent,GLS,Sedan,automatic,kmhct4ae6eu682917,fl,2.5,17020,brown,tan,"florida auto financial group",11600,10500,Tue Dec 23 2014 09:30:00 GMT-0800 (PST)
2014,Hyundai,Accent,GLS,Sedan,automatic,kmhct4ae6eu651649,il,3.7,23107,gray,gray,"hyundai motor america/lease",11400,11100,Tue Mar 03 2015 02:00:00 GMT-0800 (PST)
2014,Honda,Accord,LX-S,Coupe,automatic,1hgct1b31ea001453,ca,4.9,6826,gray,black,"ahfc/honda lease trust/hvt, inc.",16800,18700,Tue Dec 30 2014 15:00:00 GMT-0800 (PST)
